relative_time,PitchSensor,DecibelSource
0,0.0,44.855016103743864
40,,51.890337691398976
87,75.65545944940477,51.57781671668247
118,75.65545944940477,47.71728986660499
158,75.65545944940477,
166,,51.882584932420244
199,,48.90965033681858
238,,47.4259939595348
284,169.453125,51.17136312695959
318,169.453125,53.085698625633256
358,169.453125,
368,149.6333550347222,50.975250818503284
398,149.6333550347222,41.199158212115975
438,149.6333550347222,
447,140.41634114583331,44.931222136602344
478,140.41634114583331,48.61416138110439
518,140.41634114583331,
529,143.1138916015625,40.20119503691162
558,143.1138916015625,
559,,36.94006697999252
598,143.1138916015625,33.04146617186136
639,143.1138916015625,
648,,37.463153031216315
678,,51.263282829098756
725,176.480712890625,
726,176.480712890625,51.77182619809677
758,176.480712890625,46.067316181927104
798,176.480712890625,
807,,50.29044314233252
838,,49.33413987338798
880,,44.88387059463981
934,368.2977730887277,49.729023006147514
958,368.2977730887277,51.649174353790954
999,368.2977730887277,
1009,,46.21750557923769
1038,,43.04503582457991
1090,53.360909598214285,40.001641588745194
1118,53.360909598214285,48.54970414443774
1158,53.360909598214285,45.6409980052188
1198,53.360909598214285,
1207,,46.364245794431646
1238,,44.537492080045354
1285,181.05305989583331,49.342331283454406
1318,181.05305989583331,53.49216169540008
1359,181.05305989583331,
1371,135.144287109375,52.93771972382294
1399,135.144287109375,47.38039781039091
1438,135.144287109375,41.20923169065381
1478,135.144287109375,
1491,129.77615559895833,45.60930072686808
1519,129.77615559895833,46.54837772276667
1558,129.77615559895833,
1568,,44.678822432771526
1598,,39.77772557194929
1653,586.2364734468006,47.48291484076666
1679,586.2364734468006,48.87355380138496
1718,586.2364734468006,
1719,,48.56401545366998
1758,586.2364734468006,
1767,,45.35166013233459
1798,,51.124983042314355
1844,152.822265625,54.16880686495339
1878,152.822265625,44.115329552043875
1918,152.822265625,
1927,,47.30300172638458
1958,,42.88280943729471
1998,,47.972106169065185
2045,435.6640625,49.55709981240466
2078,435.6640625,39.740250537751876
2118,435.6640625,
2127,412.568359375,37.30280481908586
2158,412.568359375,38.9200132124808
2198,412.568359375,
2207,457.0189993722098,31.00004023406442
2239,457.0189993722098,51.708050868303545
2279,457.0189993722098,49.948359651828866
2318,457.0189993722098,
2326,,47.86514729342458
2359,,47.79569330849196
2408,121.64242468939887,46.70190838913358
2438,121.64242468939887,45.73779757119866
2478,121.64242468939887,
2488,121.5335693359375,47.78401787849913
2518,121.5335693359375,47.87134723492662
2558,121.5335693359375,47.612926756705285
2598,121.5335693359375,
2610,123.06839023858241,
2611,123.06839023858241,43.456757107778486
2639,123.06839023858241,30.76965147680841
2678,123.06839023858241,
2686,137.88443429129464,
2687,137.88443429129464,28.257811022933584
2718,137.88443429129464,44.88840191226351
2758,137.88443429129464,
2765,,50.71493768361545
2799,,49.30259818073474
2838,,42.89934731590685
2887,137.37306043836804,45.184004423755326
2918,137.37306043836804,47.37638263592439
2959,137.37306043836804,
2969,145.24617513020831,34.28872395902744
2998,145.24617513020831,
2999,,33.8141747732661
3040,145.24617513020831,
3046,167.86417643229169,52.54896009483549
3078,167.86417643229169,54.06053004491473
3118,167.86417643229169,
3127,176.05162464488637,
3128,176.05162464488637,53.65731249128932
3158,176.05162464488637,48.38771549069709
3198,176.05162464488637,46.271279484134695
3238,176.05162464488637,
3247,183.19441731770834,48.01930084953584
3278,183.19441731770834,49.889238625977235
3318,183.19441731770834,
3327,180.18457539876303,48.26161103300805
3358,180.18457539876303,51.06088262506778
3398,180.18457539876303,
3410,,47.33061943968651
3438,,50.56578243182418
3478,,48.94678931637452
3530,140.67023111979168,33.89329248267956
3558,140.67023111979168,36.38782276011933
3598,140.67023111979168,
3605,,48.03921377749411
3638,,47.6158013743414
3686,134.69207763671875,45.36774034765848
3718,134.69207763671875,42.8311456486132
3759,134.69207763671875,46.547427898390666
3799,134.69207763671875,
3805,129.49869791666669,45.39765171442065
3838,129.49869791666669,47.8206600697054
3878,129.49869791666669,
3891,129.14861043294272,46.201861006815236
3918,129.14861043294272,48.256837256286516
3958,129.14861043294272,
3969,130.80899677579364,49.81734680994741
3998,130.80899677579364,48.81276471164608
4038,130.80899677579364,44.57426318971875
4079,130.80899677579364,
4089,132.4905802408854,34.082698735754704
4118,132.4905802408854,42.310939605884286
4158,132.4905802408854,
4165,,50.957458586104565
4198,,50.9516526787612
4252,155.27243381076389,50.18583788581662
4280,155.27243381076389,51.79161597809137
4318,155.27243381076389,49.8285239096506
4358,155.27243381076389,
4368,164.76455930679563,50.24070224023853
4398,164.76455930679563,50.757339700578484
4439,164.76455930679563,
4448,172.83677455357142,48.26010536414421
4478,172.83677455357142,39.130118256241246
4518,172.83677455357142,
4531,112.44905598958333,26.870428639436156
4558,112.44905598958333,36.88639629866638
4598,112.44905598958333,39.59510890955023
4638,112.44905598958333,
4647,,40.36373298512431
4679,,47.79851722645802
4728,144.81005859375,44.996904171953986
4759,144.81005859375,41.11936121867596
4798,144.81005859375,
4806,,43.399926509112625
4838,,43.07364125728648
4880,,48.96002980158727
4928,134.50374348958331,45.38042714350611
4958,134.50374348958331,45.50018332945952
4999,134.50374348958331,
5008,103.055419921875,46.28380489698051
5038,103.055419921875,36.651620917680184
5078,103.055419921875,
5085,,41.07507402732608
5118,,48.83405470800906
5159,,47.43422310950062
5208,148.29996744791669,34.645340704459436
5239,148.29996744791669,26.31788195513795
5279,148.29996744791669,43.52560875523903
5318,,50.6689503417623
5369,155.01332600911456,46.334228148157344
5398,155.01332600911456,38.02215367855886
5438,155.01332600911456,31.477113689034084
5478,155.01332600911456,
5488,156.268798828125,46.644193911514364
5519,156.268798828125,46.88200553973158
5558,156.268798828125,
5573,133.47397867838544,44.82540958458644
5598,133.47397867838544,43.017704959086885
5638,133.47397867838544,
5648,123.78854838376323,
5649,123.78854838376323,43.79609813437512
5678,123.78854838376323,43.15975281296243
5719,123.78854838376323,40.659760766898295
5758,123.78854838376323,
5769,118.14142400568181,41.8207718709877
5798,118.14142400568181,41.191804142170426
5839,118.14142400568181,
5846,117.9052734375,36.30613839176629
5878,117.9052734375,43.27855172693574
5919,117.9052734375,
5926,,46.82927027892747
5958,,38.25780477187078
6006,93.0955810546875,30.60323671299345
6038,93.0955810546875,33.677061638115106
6078,93.0955810546875,37.75512039931317
