relative_time,DecibelSource,PitchSensor
0,36.15739688619155,116.28318093039773
67,34.7928731647617,116.28318093039773
134,33.71067862271736,117.491943359375
200,50.69993510863739,
267,50.41661075162309,
334,51.41120400007769,123.75745985243056
400,46.4253376441126,128.525390625
467,50.32086645837977,166.49076085512328
534,50.44512322148655,166.49076085512328
601,43.04318154490056,174.42332987882654
667,53.28304156060112,145.77121310763889
734,37.84688599501421,77.0400390625
800,35.19959180752068,77.0400390625
867,41.459418695761215,
934,43.27174958937619,431.9921875
1000,41.355460683350785,431.9921875
1067,36.75228253593064,
1134,42.34694407142218,63.14453125
1200,38.10837151140488,
1267,45.767673718428924,
1334,35.758803156806465,117.57975260416667
1400,49.28108959274703,137.68819173177081
1467,38.56547644856748,137.68819173177081
1534,39.48950610245548,144.18212890625
1600,35.29558673021163,113.759521484375
1667,43.99085035333225,116.54876708984375
1734,35.89279221235967,116.54876708984375
1800,35.90953235187986,
1867,42.622849343777446,416.3818359375
1934,30.606978403536118,416.3818359375
2001,35.32244643626582,
2067,34.78854967528663,25.17626953125
2134,44.315728185856536,
2200,43.557387836020354,
2267,40.520780304841686,102.33940197172619
2334,41.083620349551715,
2400,39.16401303603875,
2467,36.781540380104374,98.58565266927083
2534,37.16086853774832,
2600,31.737688231366498,111.93896484375
2667,32.07095540419218,111.93896484375
2734,32.14048679411941,0.0
2800,34.089180208467795,
2867,47.25094521081469,
2934,48.348719319741335,95.35903930664062
3000,49.67206209265102,113.94639756944444
3067,44.19030029085262,127.64539930555556
3134,41.367522663266634,127.64539930555556
3200,49.942115363067856,
3267,46.88375322337535,169.64893193605565
3334,52.21643714228739,169.64893193605565
3400,50.523398995822255,232.795654296875
3467,43.63931473001837,136.5887451171875
3534,51.326182507796155,
3600,42.33148467693104,
3667,39.97255289820103,230.372314453125
3734,46.51772130538201,240.068359375
3800,43.78143427967742,127.02107747395833
3867,41.52349508312726,127.02107747395833
3934,50.372352068722385,
4000,46.234560480699336,109.287109375
4067,48.77290700149825,109.287109375
4134,49.17347937627771,107.42000951522436
4200,40.923345895210204,
4267,48.46479379040113,432.7734375
4334,49.97613521298866,432.7734375
4400,49.412131875853206,
4467,49.9312748510571,158.74567328559027
4534,50.34512147977806,158.74567328559027
4601,38.23800153749878,155.73834635416668
4667,39.7474190450095,151.5
4734,40.359897569364264,151.5
4801,47.482888336677505,168.4364013671875
4867,42.07149453209543,
4934,38.67113779831977,85.64778645833334
5001,50.44100540334267,85.64778645833334
5067,43.45275684620778,
5134,52.593955583528,115.4771728515625
5200,40.083020242120014,107.06705729166666
5267,40.97916409237325,107.06705729166666
5334,50.93428689855454,131.58085123697916
5400,35.55457217204649,114.5838623046875
5467,36.57151501900967,141.1376953125
5534,44.257460992957306,141.1376953125
5600,35.93950295263988,114.47031656901042
5667,36.319508262592166,93.4130859375
5734,44.71673018500091,93.4130859375
5800,45.37932374511008,
5867,43.616334139100566,103.97898646763394
5934,42.13517756996305,103.97898646763394
6000,42.236516671871804,95.83912129304846
6067,42.816922671609376,
6134,38.95035597452323,188.533935546875
6200,35.68553712049442,188.533935546875
